"cutoff","TumorSizeGroup","N","Metastasis_n","Crude_rate","Standardized_rate"
2.7,"Large",10298,6144,0.596620703049136,0.572562473406855
2.8,"Small",3030,1658,0.547194719471947,0.650010302559843
2.8,"Large",10235,6111,0.597068881289692,0.572878092608924
2.9,"Small",3198,1760,0.550343964978111,0.650538814125098
2.9,"Large",10067,6009,0.596900764875335,0.570981266554771
3,"Small",3198,1760,0.550343964978111,0.650538814125098
3,"Large",10067,6009,0.596900764875335,0.570981266554771
3.1,"Small",4823,2738,0.567696454488907,0.635920133908315
3.1,"Large",8442,5031,0.595948827292111,0.564393521282358
3.2,"Small",4825,2740,0.567875647668394,0.635963213629389
3.2,"Large",8440,5029,0.59585308056872,0.564350167706844
3.3,"Small",5016,2837,0.565590111642743,0.632880871535304
3.3,"Large",8249,4932,0.597890653412535,0.564734653696585
3.4,"Small",5037,2849,0.565614453047449,0.63224143240344
3.4,"Large",8228,4920,0.597958191541079,0.564579088550228
3.5,"Small",5037,2849,0.565614453047449,0.63224143240344
3.5,"Large",8228,4920,0.597958191541079,0.564579088550228
3.6,"Small",6276,3600,0.573613766730402,0.622805130745695
3.6,"Large",6989,4169,0.596508799542138,0.560660660009385
3.7,"Small",6320,3626,0.57373417721519,0.622340165696698
3.7,"Large",6945,4143,0.596544276457883,0.560479526644059
3.8,"Small",6488,3720,0.573366214549938,0.621202756570725
3.8,"Large",6777,4049,0.597462003836506,0.561121234260676
3.9,"Small",6491,3722,0.573409336003697,0.621252808372369
3.9,"Large",6774,4047,0.597431355181577,0.561159536950605
4,"Small",6491,3722,0.573409336003697,0.621252808372369
4,"Large",6774,4047,0.597431355181577,0.561159536950605
4.1,"Small",8265,4848,0.586569872958258,0.617963253638628
4.1,"Large",5000,2921,0.5842,0.546498399698842
4.2,"Small",8268,4851,0.586719883889695,0.618085922690533
4.2,"Large",4997,2918,0.583950370222133,0.546070244399965
4.3,"Small",8387,4931,0.587933706927388,0.618529116270579
4.3,"Large",4878,2838,0.58179581795818,0.544032825576668
4.4,"Small",8387,4931,0.587933706927388,0.618529116270579
4.4,"Large",4878,2838,0.58179581795818,0.544032825576668
4.5,"Small",8402,4939,0.587836229469174,0.618392856861185
4.5,"Large",4863,2830,0.58194530125437,0.544267394014872
4.6,"Small",9356,5504,0.58828559213339,0.611097770696067
4.6,"Large",3909,2265,0.57943207981581,0.545965780489543
4.7,"Small",9375,5515,0.588266666666667,0.610845611000307
4.7,"Large",3890,2254,0.579434447300771,0.545429271079219
4.8,"Small",9451,5560,0.588297534652418,0.610381348130918
4.8,"Large",3814,2209,0.579181961195595,0.545977225287234
4.9,"Small",9451,5560,0.588297534652418,0.610381348130918
4.9,"Large",3814,2209,0.579181961195595,0.545977225287234
5,"Small",9453,5562,0.58838463979689,0.61044241592597
5,"Large",3812,2207,0.578961175236097,0.545638274014416
5.1,"Small",10689,6314,0.590700720366732,0.604508253748655
5.1,"Large",2576,1455,0.564829192546584,0.532741156576276
5.2,"Small",10689,6314,0.590700720366732,0.604508253748655
5.2,"Large",2576,1455,0.564829192546584,0.532741156576276
5.3,"Small",10717,6325,0.590183820098908,0.60394617173108
5.3,"Large",2548,1444,0.566718995290424,0.536736901160973
5.4,"Small",10731,6333,0.590159351411798,0.603956334886275
5.4,"Large",2534,1436,0.566692975532755,0.538835459248665
5.5,"Small",10736,6336,0.590163934426229,0.603928436521136
5.5,"Large",2529,1433,0.566627125345987,0.538841848571661
5.6,"Small",11213,6601,0.588691697137251,0.599661796123901
5.6,"Large",2052,1168,0.569200779727095,0.539885770163797
